Wall time,Step,Value
1519513848.4257374,1,0.7575631737709045
1519513849.0885463,2,1.159496545791626
1519513850.4083762,4,0.9560240507125854
1519513851.714876,6,0.5093492269515991
1519513852.3706572,7,0.7521125078201294
1519513853.0239637,8,0.4568201005458832
1519513853.6731505,9,0.4877440929412842
1519513854.3367658,10,0.5910783410072327
1519513854.9831278,11,0.5865030288696289
1519513855.6593206,12,0.525806188583374
1519513856.307981,13,0.5570017099380493
1519513856.9776542,14,0.7841041088104248
1519513857.6427138,15,0.5678150057792664
1519513858.299917,16,0.5908174514770508
1519513858.962324,17,0.8100178241729736
1519513859.6250083,18,0.586628794670105
1519513860.2815385,19,0.426366925239563
1519513860.9337728,20,0.7242439985275269
1519513861.5908911,21,0.6142392158508301
1519513862.2436955,22,0.6888534426689148
1519513862.9048584,23,0.4479162096977234
1519513863.5754128,24,0.5363353490829468
1519513864.2308738,25,0.4952661395072937
1519513864.8883271,26,0.46048325300216675
1519513866.2143583,28,0.5823252201080322
1519513868.203737,31,0.49739882349967957
1519513868.8589463,32,0.3087127208709717
1519513869.5167985,33,0.5673214197158813
1519513870.176473,34,0.5150455832481384
1519513870.8939896,35,0.5674719214439392
1519513872.1921666,37,0.5305904150009155
1519513872.8670976,38,0.6491128206253052
1519513873.5254412,39,0.44193243980407715
1519513874.1851854,40,0.4454983174800873
1519513874.8396192,41,0.46767690777778625
1519513876.1361675,43,0.4084519147872925
1519513876.8023658,44,0.3275107741355896
1519513877.480859,45,0.5122989416122437
1519513878.135128,46,0.47034215927124023
1519513878.789722,47,0.4944225251674652
1519513879.4618275,48,0.6994442939758301
1519513880.7984464,50,0.4092233180999756
1519513881.486183,51,0.7591135501861572
1519513882.7961774,53,0.406016081571579
1519513883.4662564,54,0.36335599422454834
1519513884.128469,55,0.3757655620574951
1519513884.7952328,56,0.4768001437187195
1519513885.4646628,57,0.4560302495956421
1519513886.1245556,58,0.624794602394104
1519513888.0075526,60,0.377683162689209
1519513893.6365492,61,0.6482564806938171
1519513894.2910812,62,0.4556385576725006
1519513894.9478035,63,0.3877886235713959
1519513895.640205,64,0.6813900470733643
1519513896.2917125,65,0.5052514672279358
1519513896.945477,66,0.5298285484313965
1519513897.593573,67,0.7242326140403748
1519513898.250508,68,0.4579440653324127
1519513898.9339373,69,0.3469695448875427
1519513899.5849688,70,0.4825410842895508
1519513900.9076984,72,0.5557374358177185
1519513901.5643382,73,0.5006891489028931
1519513902.2133214,74,0.7788680791854858
1519513902.8883083,75,0.370880126953125
1519513903.5527873,76,0.5063910484313965
1519513904.2043858,77,0.4369654953479767
1519513904.8726926,78,0.4819277822971344
1519513905.5306938,79,0.42936256527900696
1519513906.1881468,80,0.5808769464492798
1519513907.5051358,82,0.552696704864502
1519513908.1645017,83,0.4986935257911682
1519513909.4766383,85,0.6670142412185669
1519513910.1454957,86,0.47200360894203186
1519513910.8086214,87,0.49762409925460815
1519513911.4592474,88,0.5181187987327576
1519513912.1209564,89,0.48877787590026855
1519513912.7956543,90,0.455413281917572
1519513914.1203384,92,0.3964974582195282
1519513914.7845292,93,0.46632304787635803
1519513915.440836,94,0.3796065151691437
1519513916.1104007,95,0.6375307440757751
1519513916.7841513,96,0.5264644622802734
1519513917.4433434,97,0.3679134249687195
1519513918.1012166,98,0.5174124240875244
1519513919.4312532,100,0.5550118684768677
1519513920.0936027,101,0.4690588712692261
1519513920.7576268,102,0.423117458820343
1519513921.415939,103,0.3392886817455292
1519513922.0821245,104,0.328561007976532
1519513922.733943,105,0.3373854160308838
1519513923.4070106,106,0.389594703912735
1519513924.0753672,107,0.41807442903518677
1519513925.4027946,109,0.4413990378379822
1519513926.05934,110,0.35113751888275146
1519513926.712915,111,0.8061481714248657
1519513927.371587,112,0.5089393854141235
1519513928.0301318,113,0.3815698027610779
1519513928.6839323,114,0.376886248588562
1519513929.34281,115,0.3622252941131592
1519513929.9998078,116,0.3829597532749176
1519513930.666645,117,0.44150567054748535
1519513931.3413825,118,0.5437791347503662
1519513932.0050929,119,0.42648208141326904
1519513932.4045901,120,0.24476508796215057
1519513937.3854058,121,0.5072793364524841
1519513938.0541453,122,0.34382736682891846
1519513938.725983,123,0.38139042258262634
1519513939.3875825,124,0.6880196332931519
1519513940.0473695,125,0.5062376856803894
1519513940.7008631,126,0.5000327825546265
1519513941.3535185,127,0.7143943309783936
1519513942.0089293,128,0.330228328704834
1519513943.3661098,130,0.4145657420158386
1519513944.0272253,131,0.4515434503555298
1519513946.0177732,134,0.9234191179275513
1519513946.7387154,135,0.4758857488632202
1519513948.0439782,137,0.5237569808959961
1519513948.7100708,138,0.5115528106689453
1519513950.0353549,140,0.428266316652298
1519513951.3452158,142,0.641581118106842
1519513952.0074706,143,0.4059281647205353
1519513952.6712437,144,0.42816686630249023
1519513953.333246,145,0.4538094997406006
1519513953.993137,146,0.3629833459854126
1519513954.6444287,147,0.41059935092926025
1519513955.952053,149,0.3591245710849762
1519513956.6296797,150,0.35294750332832336
1519513957.282202,151,0.27608639001846313
1519513957.9412794,152,0.41591304540634155
1519513959.2791224,154,0.2808949947357178
1519513959.929393,155,0.6370235681533813
1519513960.5958965,156,0.4654892683029175
1519513961.2729077,157,0.5567970275878906
1519513961.9251957,158,0.35873788595199585
1519513962.6121626,159,0.41436487436294556
1519513963.2666225,160,0.36758750677108765
1519513964.5977602,162,0.3987751305103302
1519513965.2569458,163,0.2390548586845398
1519513966.615771,165,0.364784836769104
1519513967.2713025,166,0.3131350874900818
